fixture_id,model,variant,run_dir,exit_code,is_error,duration_ms,num_turns,total_cost_usd,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,tool_calls,files_read,bash_commands,permission_denials,tool_names
primary-01-overlapping-file-change-v1,sonnet,baseline,primary-01-overlapping-file-change-v1-sonnet-baseline,0,False,30398,8,0.169317,5,21074,56310,1731,7,4,0,0,"{""Edit"": 1, ""Glob"": 2, ""Read"": 4}"
primary-01-overlapping-file-change-v1,sonnet,context,primary-01-overlapping-file-change-v1-sonnet-context,0,False,43923,7,0.11781119999999999,6,9906,90224,2086,6,3,0,0,"{""Edit"": 1, ""Glob"": 2, ""Read"": 3}"
primary-02-changed-acceptance-criteria-v1,sonnet,baseline,primary-02-changed-acceptance-criteria-v1-sonnet-baseline,0,False,73325,13,0.21005400000000002,12,12534,224630,4495,12,6,1,1,"{""Bash"": 1, ""Edit"": 3, ""Glob"": 1, ""Read"": 6, ""Write"": 1}"
primary-02-changed-acceptance-criteria-v1,sonnet,context,primary-02-changed-acceptance-criteria-v1-sonnet-context,0,False,64580,9,0.17364659999999998,8,11521,134522,4276,8,4,1,1,"{""Bash"": 1, ""Edit"": 2, ""Glob"": 1, ""Read"": 4}"
primary-03-stale-process-doc-v1,sonnet,baseline,primary-03-stale-process-doc-v1-sonnet-baseline,0,False,43913,9,0.12278789999999998,6,10444,91453,2178,8,6,1,0,"{""Bash"": 1, ""Read"": 6, ""Write"": 1}"
primary-03-stale-process-doc-v1,sonnet,context,primary-03-stale-process-doc-v1-sonnet-context,0,False,42516,10,0.12139230000000001,7,9599,108191,2088,9,7,0,0,"{""Edit"": 1, ""Glob"": 1, ""Read"": 7}"
primary-04-safety-blocked-source-change-v1,sonnet,baseline,primary-04-safety-blocked-source-change-v1-sonnet-baseline,0,False,35868,8,0.10023839999999999,6,8017,87628,1722,7,6,0,0,"{""Glob"": 1, ""Read"": 6}"
primary-04-safety-blocked-source-change-v1,sonnet,context,primary-04-safety-blocked-source-change-v1-sonnet-context,0,False,109692,14,0.2309238,10,14592,190006,5756,13,8,3,1,"{""Bash"": 3, ""Edit"": 2, ""Read"": 8}"
primary-05-inaccessible-linked-docs-v1,sonnet,baseline,primary-05-inaccessible-linked-docs-v1-sonnet-baseline,0,False,54030,11,0.1319307,7,9894,112919,2578,10,8,2,0,"{""Bash"": 2, ""Read"": 8}"
primary-05-inaccessible-linked-docs-v1,sonnet,context,primary-05-inaccessible-linked-docs-v1-sonnet-context,0,False,66608,12,0.14182499999999998,7,10682,113640,2908,11,9,2,0,"{""Bash"": 2, ""Read"": 9}"
primary-06-project-guidance-applies-v1,sonnet,baseline,primary-06-project-guidance-applies-v1-sonnet-baseline,0,False,38017,7,0.1038996,6,8736,87752,1676,6,4,0,0,"{""Edit"": 1, ""Glob"": 1, ""Read"": 4}"
primary-06-project-guidance-applies-v1,sonnet,context,primary-06-project-guidance-applies-v1-sonnet-context,0,False,52678,8,0.12622650000000002,6,9830,87795,2726,7,4,0,0,"{""Edit"": 1, ""Glob"": 2, ""Read"": 4}"
